demand,target,policy,policy_id,seed,periods,requests,dispatched,completion_rate,first24_completion_rate,late24_service_ratio,final_queue,mean_wait_minutes,late_mean_wait_minutes,late_p95_wait_mean,final_oldest_queue_age,north_completion_rate,central_completion_rate,south_completion_rate,north_route_share,central_route_share,south_route_share,population_weighted_exposure_mean,late_population_weighted_exposure_mean,late_central_use_mean,late_central_budget_mean,late_central_budget_sd,late_target_gap,late_budget_direction_changes,final_central_budget,runtime_ms
45,14.05,P2 fixed,p2,530,120,8533,4676,0.5479901558654635,0.6032362459546926,0.5333333333333333,3857,12262.869894854093,23239.802363744893,23311.545055756058,25849,0.542305508233958,0.5466118292205249,0.5582232893157263,0.33340461933276305,0.33340461933276305,0.3331907613344739,13.105658789174077,13.115204375190359,13.130532103416835,14.050000000000006,5.443687297790758e-15,5.329070518200751e-15,0,14.05,75.18645800000013
45,14.1,P2 fixed,p2,501,120,8431,4920,0.5835606689597912,0.6360698125404007,0.5747663551401869,3511,11156.310940156394,20979.95027950632,21047.48628395867,23356,0.577490774907749,0.5837742504409171,0.5887191539365453,0.34146341463414637,0.3170731707317073,0.34146341463414637,13.389413320502285,13.389416403422743,13.140577167709646,14.100000000000001,1.8145624325969195e-15,1.7763568394002505e-15,0,14.1,71.99495800000022
45,14.1,P2 fixed,p2,502,120,8488,4920,0.5796418473138548,0.6626262626262627,0.5687861271676301,3568,11037.741139920257,21040.0783903334,21109.70276659268,23615,0.5782997762863534,0.5756487025948104,0.5928994082840237,0.34146341463414637,0.3170731707317073,0.34146341463414637,13.389404371893898,13.389403966840206,13.140573635856923,14.100000000000001,1.8145624325969195e-15,1.7763568394002505e-15,0,14.1,74.7206670000005
45,14.1,P2 fixed,p2,503,120,8433,4919,0.5833036878928021,0.6484168865435356,0.5415520088057237,3514,11029.1378981979,20828.899056703787,20898.19784896967,23307,0.5998774509803921,0.576211106734935,0.5885084155542658,0.34132953852409026,0.3171376295995121,0.34153283187639766,13.388265593373102,13.389402317452692,13.140572829737144,14.100000000000001,1.8145624325969195e-15,1.7763568394002505e-15,0,14.1,71.69370899999922
45,14.1,P2 fixed,p2,504,120,8458,4920,0.5816978008985576,0.6465177398160316,0.5754385964912281,3538,11154.474364257161,21255.000514892356,21328.902068633823,23922,0.5817335660267597,0.5854667191807799,0.5701384708007224,0.34146341463414637,0.3170731707317073,0.34146341463414637,13.38940919526013,13.389419745327602,13.140578173624158,14.100000000000001,1.8145624325969195e-15,1.7763568394002505e-15,0,14.1,169.01708300000064
45,14.1,P2 fixed,p2,505,120,8451,4915,0.581587977754112,0.6267605633802817,0.5701042873696408,3536,11250.959901886295,21204.425351934053,21277.13819518077,23789,0.5934734513274337,0.5783303011926421,0.5784198113207547,0.3414038657171923,0.31719226856561544,0.3414038657171923,13.37871301212593,13.389404128671847,13.140573501613625,14.100000000000001,1.8145624325969195e-15,1.7763568394002505e-15,0,14.1,77.61520800000017
45,14.1,P2 fixed,p2,506,120,8485,4919,0.5797289334119033,0.646285338593031,0.5565610859728507,3566,11169.479082822305,21110.591963695795,21186.053825497595,23579,0.5861678004535147,0.577572347266881,0.5793696275071634,0.34132953852409026,0.3171376295995121,0.34153283187639766,13.388267704261578,13.389416809594309,13.140577502833766,14.100000000000001,1.8145624325969195e-15,1.7763568394002505e-15,0,14.1,82.15162499999951
45,14.1,P2 fixed,p2,507,120,8459,4915,0.5810379477479608,0.6566063044936284,0.563573883161512,3544,11249.866802474558,21272.05950517632,21338.72061479241,23667,0.5725281231497927,0.5823008849557522,0.5857566765578635,0.3414038657171923,0.31719226856561544,0.3414038657171923,13.37871229758673,13.389406399746278,13.140574216422928,14.100000000000001,1.8145624325969195e-15,1.7763568394002505e-15,0,14.1,72.66170799999963
45,14.1,P2 fixed,p2,508,120,8258,4919,0.5956648098813272,0.6441677588466579,0.5952813067150635,3339,10887.099253695866,20570.428061470004,20647.071612812517,23272,0.5934959349593496,0.5977451177773304,0.5916075650118203,0.34132953852409026,0.3171376295995121,0.34153283187639766,13.388265770180437,13.389409009498843,13.140574880282157,14.100000000000001,1.8145624325969195e-15,1.7763568394002505e-15,0,14.1,77.35691700000007
45,14.1,P2 fixed,p2,509,120,8403,4917,0.585148161370939,0.6333118140735958,0.5678015002885171,3486,11211.361623411478,21202.266301822696,21270.978242708832,23769,0.5820451843043996,0.5903662420382165,0.572775486152033,0.3412649989831198,0.3172666259914582,0.341468375025422,13.385982725611596,13.389411099785418,13.14057537957695,14.100000000000001,1.8145624325969195e-15,1.7763568394002505e-15,0,14.1,72.41183300000012
